System_BioGearsCardiovascularSystemData_HeartRate,System_BioGearsCardiovascularSystemData_SystolicArterialPressure,System_BioGearsCardiovascularSystemData_DiastolicArterialPressure,System_BioGearsCardiovascularSystemData_CardiacOutput,System_BioGearsCardiovascularSystemData_SystemicVascularResistance,System_BioGearsCardiovascularSystemData_BloodVolume,System_BioGearsBloodChemistrySystemData_InflammatoryResponse/BG:TissueIntegrity,System_BioGearsBloodChemistrySystemData_ArterialBloodPH,System_BioGearsRespiratorySystemData_RespirationRate,System_BioGearsRespiratorySystemData_TidalVolume,System_BioGearsRenalSystemData_MeanUrineOutput,System_BioGearsRenalSystemData_UrineProductionRate,System_BioGearsEnergySystemData_SkinTemperature,mins,tbsa,ringers,albumin,tbsa_mins
70.95483734,116.3434066,73.6968145,6098.771324,0.906082578,5605.281116,0.458175662,7.505641729,27.52293578,0.562943542,2069.871975,0.028322117,35.90014418,315,20,47,0,20_315
71.03824475,116.2804044,73.70146243,6092.142252,0.906846174,5594.242021,0.460971923,7.505883086,27.52293578,0.563086111,2050.611613,0.010474978,35.89943563,330,20,47,0,20_330
71.12350261,116.1970241,73.66955922,6088.857387,0.906788392,5584.170183,0.463792715,7.506209245,27.52293578,0.562982816,2055.049554,0.026889995,35.89865066,345,20,47,0,20_345
71.20342249,116.1200974,73.64545243,6084.955305,0.90688836,5574.806347,0.466636211,7.506577157,27.52293578,0.563007453,2032.714954,0.013722502,35.89782432,360,20,47,0,20_360
71.31688947,116.0069322,73.5936476,6082.145888,0.906484772,5563.285447,0.469501211,7.506746901,27.52293578,0.562952224,2034.787643,0.025444514,35.89688879,375,20,35,0,20_375
71.69218126,115.5675053,74.22728276,5964.51947,0.926697501,5551.753149,0.472386922,7.507020906,27.52293578,0.563007946,2042.735061,0.012667703,35.8957985,390,20,35,0,20_390
71.82678379,115.4123206,74.12599123,5964.480281,0.925352989,5539.29998,0.475292811,7.507918,27.52293578,0.562947522,2026.750237,0.036427452,35.89443893,405,20,35,0,20_405
71.91809776,115.3180664,74.1002518,5957.152251,0.925933124,5526.577725,0.478218515,7.507314075,27.52293578,0.562920019,2018.02938,0.017593515,35.89309718,420,20,35,0,20_420
72.07931172,115.1621541,74.03159096,5951.139446,0.925710428,5509.709358,0.481163774,7.507338954,27.52293578,0.563048826,1988.399892,0.030829771,35.89161198,435,20,26,0,20_435
72.21578973,115.0220819,73.96235104,5946.507965,0.925339395,5495.309532,0.484128398,7.507402292,27.52293578,0.562974981,1984.606626,0.023220699,35.89003977,450,20,26,0,20_450
72.3330577,114.8996535,73.9006179,5942.354616,0.925024298,5482.876563,0.487112237,7.507404128,27.52293578,0.562911398,1956.568357,0.009989096,35.88847698,465,20,26,0,20_465
72.44496198,114.7944223,73.84770174,5939.20564,0.924661238,5471.98169,0.490115164,7.507448889,27.52293578,0.562853957,1954.430455,0.029863463,35.88699541,480,20,26,0,20_480
72.54803091,114.6820805,73.78927196,5935.138377,0.924401182,5460.826007,0.493137067,7.507399527,27.52293578,0.562803435,1935.578975,0.01163264,35.88558721,495,20,20,0,20_495
72.64462905,114.583103,73.7373115,5931.845919,0.924104069,5450.965179,0.496177839,7.507421629,27.52293578,0.562745995,1922.068177,0.035008387,35.88425032,510,20,20,0,20_510
72.72141404,114.490095,73.68655426,5928.316378,0.923903715,5442.139139,0.499237376,7.507443086,27.52293578,0.56268954,1915.180741,0.01644823,35.88300755,525,20,20,0,20_525
72.79835042,114.4073848,73.64149497,5925.514483,0.923653499,5434.160676,0.50231557,7.507484463,27.52293578,0.562632373,1892.807487,0.029766412,35.88186543,540,20,20,0,20_540
72.88300573,114.3206643,73.59424079,5922.67376,0.92336166,5425.742994,0.505412312,7.50752292,27.52293578,0.562575403,1893.702568,0.022073981,35.88079243,555,20,15,0,20_555
72.95603399,114.253414,73.56180423,5920.025704,0.923228354,5418.084228,0.508527486,7.507270797,27.52293578,0.562887719,1870.961255,0.009310982,35.87973264,570,20,15,0,20_570
73.02559615,114.1863885,73.52783409,5917.322287,0.92309169,5411.044467,0.511660969,7.506954453,27.52293578,0.562804708,1871.314846,0.028665386,35.87870114,585,20,15,0,20_585
73.07772823,114.1239622,73.49877909,5913.657146,0.923181926,5404.524354,0.514812631,7.506529112,27.52293578,0.563081273,1857.586238,0.01087576,35.87763301,600,20,15,0,20_600
73.12799053,113.995263,73.41087206,5909.356389,0.922721973,5397.611891,0.517985868,7.506037884,27.52293578,0.563229564,1850.718833,0.025957061,35.87633805,615,20,11,0,20_615
73.47445806,113.6348284,74.0414098,5792.68403,0.943892123,5390.087395,0.521173489,7.506364207,27.52293578,0.563233667,1862.911675,0.025661991,35.87490645,630,20,11,0,20_630
73.4623246,113.5100725,73.98211688,5778.811058,0.945329919,5381.977805,0.524378851,7.504170915,27.77777778,0.568867561,1837.494347,0.016042364,35.8735395,645,20,11,0,20_645
73.59869277,113.4641134,73.97113417,5784.543839,0.944066428,5374.771285,0.527601789,7.505034235,27.52293578,0.563342332,1840.797114,0.020003342,35.87223439,660,20,11,0,20_660
73.67976929,113.3022508,73.84773821,5784.990408,0.942488744,5367.645419,0.530842128,7.506317402,27.52293578,0.563515903,1811.819452,0.030277415,35.87094772,675,20,8,0,20_675
73.72498486,113.1845063,73.77931321,5780.436174,0.942273581,5361.232627,0.534099684,7.507308251,27.77777778,0.569025501,1810.802668,0.014970456,35.86987014,690,20,8,0,20_690
73.77578643,113.1960264,73.82554979,5777.307838,0.943157155,5355.462018,0.537374261,7.505489239,27.52293578,0.563429176,1799.233162,0.032924297,35.86890383,705,20,8,0,20_705
73.80626738,113.1280834,73.80376065,5771.616432,0.9436566,5350.158626,0.540665652,7.504494226,27.77777778,0.568903967,1795.075185,0.010742074,35.86809541,720,20,8,0,20_720
73.6520184,113.1384983,73.87971042,5743.390202,0.949064044,5344.766935,0.54397364,7.498831646,28.03738318,0.575431763,1796.464912,0.028353803,35.86724332,735,20,6,0,20_735
